Transaction,Item,period_day,weekday_weekend,Hour,Day,Month,Tanggal,JamMenit
1,1,0.0,1,9,6,5,2016-10-30,09:58
2,13,0.0,1,10,6,5,2016-10-30,10:05
2,13,0.0,1,10,6,5,2016-10-30,10:05
3,7,0.0,1,10,6,5,2016-10-30,10:07
3,92,0.0,1,10,6,5,2016-10-30,10:07
3,8,0.0,1,10,6,5,2016-10-30,10:07
4,10,0.0,1,10,6,5,2016-10-30,10:08
5,0,0.0,1,10,6,5,2016-10-30,10:13
5,4,0.0,1,10,6,5,2016-10-30,10:13
5,1,0.0,1,10,6,5,2016-10-30,10:13
6,6,0.0,1,10,6,5,2016-10-30,10:16
6,4,0.0,1,10,6,5,2016-10-30,10:16
6,10,0.0,1,10,6,5,2016-10-30,10:16
7,6,0.0,1,10,6,5,2016-10-30,10:19
7,4,0.0,1,10,6,5,2016-10-30,10:19
7,0,0.0,1,10,6,5,2016-10-30,10:19
7,2,0.0,1,10,6,5,2016-10-30,10:19
8,4,0.0,1,10,6,5,2016-10-30,10:20
8,1,0.0,1,10,6,5,2016-10-30,10:20
9,1,0.0,1,10,6,5,2016-10-30,10:21
9,10,0.0,1,10,6,5,2016-10-30,10:21
10,13,0.0,1,10,6,5,2016-10-30,10:25
10,6,0.0,1,10,6,5,2016-10-30,10:25
11,1,0.0,1,10,6,5,2016-10-30,10:27
11,6,0.0,1,10,6,5,2016-10-30,10:27
11,1,0.0,1,10,6,5,2016-10-30,10:27
12,92,0.0,1,10,6,5,2016-10-30,10:30
12,0,0.0,1,10,6,5,2016-10-30,10:30
12,15,0.0,1,10,6,5,2016-10-30,10:30
12,4,0.0,1,10,6,5,2016-10-30,10:30
12,2,0.0,1,10,6,5,2016-10-30,10:30
13,90,0.0,1,10,6,5,2016-10-30,10:31
13,1,0.0,1,10,6,5,2016-10-30,10:31
13,0,0.0,1,10,6,5,2016-10-30,10:31
14,1,0.0,1,10,6,5,2016-10-30,10:32
14,6,0.0,1,10,6,5,2016-10-30,10:32
14,4,0.0,1,10,6,5,2016-10-30,10:32
15,38,0.0,1,10,6,5,2016-10-30,10:34
15,13,0.0,1,10,6,5,2016-10-30,10:34
16,1,0.0,1,10,6,5,2016-10-30,10:37
16,6,0.0,1,10,6,5,2016-10-30,10:37
16,0,0.0,1,10,6,5,2016-10-30,10:37
17,7,0.0,1,10,6,5,2016-10-30,10:38
18,20,0.0,1,10,6,5,2016-10-30,10:41
19,20,0.0,1,10,6,5,2016-10-30,10:43
19,1,0.0,1,10,6,5,2016-10-30,10:43
20,1,0.0,1,10,6,5,2016-10-30,10:45
20,6,0.0,1,10,6,5,2016-10-30,10:45
21,0,0.0,1,10,6,5,2016-10-30,10:49
21,0,0.0,1,10,6,5,2016-10-30,10:49
21,6,0.0,1,10,6,5,2016-10-30,10:49
21,1,0.0,1,10,6,5,2016-10-30,10:49
22,92,0.0,1,10,6,5,2016-10-30,10:52
23,13,0.0,1,10,6,5,2016-10-30,10:53
23,10,0.0,1,10,6,5,2016-10-30,10:53
24,1,0.0,1,10,6,5,2016-10-30,10:54
25,13,0.0,1,10,6,5,2016-10-30,10:55
26,16,0.0,1,10,6,5,2016-10-30,10:56
27,13,0.0,1,11,6,5,2016-10-30,11:02
28,0,0.0,1,11,6,5,2016-10-30,11:03
28,1,0.0,1,11,6,5,2016-10-30,11:03
29,1,0.0,1,11,6,5,2016-10-30,11:05
29,92,0.0,1,11,6,5,2016-10-30,11:05
30,1,0.0,1,11,6,5,2016-10-30,11:07
31,90,0.0,1,11,6,5,2016-10-30,11:12
32,13,0.0,1,11,6,5,2016-10-30,11:16
32,10,0.0,1,11,6,5,2016-10-30,11:16
33,0,0.0,1,11,6,5,2016-10-30,11:22
34,0,0.0,1,11,6,5,2016-10-30,11:25
34,10,0.0,1,11,6,5,2016-10-30,11:25
35,10,0.0,1,11,6,5,2016-10-30,11:27
35,13,0.0,1,11,6,5,2016-10-30,11:27
36,2,0.0,1,11,6,5,2016-10-30,11:33
36,1,0.0,1,11,6,5,2016-10-30,11:33
37,0,0.0,1,11,6,5,2016-10-30,11:37
